Category,Name,AppointmentDate,La,Lo,Place,Notes,Degree
,"Beth L. Holman, Ph.D.",,,,Bard Graduate Center,Associate Professor,"MA '79, IFA (GSAS/Fine Arts); PHD '91, IFA (GSAS/History of Art and Archaeology)"
,Mr. William G. Holman,,,, , ,"MA '81, IFA (GSAS/Fine Arts)"
,Dr. Mary Tavener Holmes,,,, ,Art Historian/Curator,"MA '79, IFA (GSAS/Fine Arts); PHD '86, IFA (GSAS/Fine Arts)"
,"Dr. William E. Hood, Jr.",,,,William Hood Fine Arts,Emeritus Professor and Principle,"PHD '77, IFA (GSAS/Fine Arts)"
,Ms. Laura J. Hoptman,,,,Museum of Modern Art,Curator,"MA '86, IFA (GSAS/Fine Arts)"
,Ms. Mindy F. Horn,,,,Mindy Horn Conservation,Paper Conservator,"MA '84, IFA (GSAS/History of Art and Archaeology); CERT '85, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Stephanie E. Hornbeck,,,, , ,"CERT '99, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '99, IFA (GSAS/History of Art and Archaeology)"
,Ms. Paula Rand Hornbostel,,,,The Lachaise Foundation,Curator and Trustee,"MA '00, IFA (GSAS/History of Art and Archaeology)"
,Ms. Christina B. Houstian,,,,Broadneck High School,Head of the Social Studies Department,"MA '94, IFA (GSAS/History of Art and Archaeology)"
,Dr. Angela Howard,,,,Rutgers University,Professor,"MA '77, IFA (GSAS/Fine Arts)"
,Ms. Anne Hoene Hoy,,,,"Editor, Author",Adjunct Assoc Professor,"MA '67, IFA (GSAS/Fine Arts)"
,"Anne C. Hrychuk Kontokosta, Ph.D.",,,,Pratt Institute,Visiting Associate Professor,"MA '03, IFA (GSAS/History of Art and Archaeology); PHD '10, IFA (GSAS/History of Art and Archaeology)"
,"Chee Mee Hu, Ph.D.",,,,Moodys Investors Service, ,"XX '70, Heights; MA '74, IFA (GSAS/Fine Arts); PHD '81, IFA"
,Ms. Sophie Hager Hume,,,,Starbucks Corporation,"VP, Asst General Counsel & Asst. Secretary","BA '82, WSC (English); MA '88, IFA (GSAS/Fine Arts)"
,Ms. Sarah Averill Humphreville,,,,Whitney Museum of American Art,Curatorial Assistant,"MA '13, IFA (GSAS/History of Art and Archaeology)"
,Dr. John M. Hunisak,,,,Middlebury College,Professor of Art and Architecture,"MA '69, IFA (GSAS/Fine Arts)"
,Ms. Penelope Hunter-Stiebel,,,, ,Consulting Curator of European Art,"MA '71, IFA (GSAS/Fine Arts)"
,Dr. Judith Warren Hurtig,,,,Hancher Auditorium,Artistic Director,"PHD '78, IFA (GSAS/Fine Arts)"
,Ms. Kailin B. Husayko,,,,Greenwich Village Society for Historic,Program Associate,"BA '06, CAS (History, French); ADCRT '13, IFA (Museum Studies)"
,Mr. Timothy B. Husband,,,,Metropolitan Museum of Art,Curator,"XX '77, IFA (GSAS/Fine Arts)"
,Dr. Isabelle Hyman,,,,New York University,Professor Emerita,"MA '66, IFA (GSAS/Fine Arts)"
,Ms. Margaret L. Iacono,,,,The Frick Collection,Assistant Curator,"MA '99, IFA (GSAS/History of Art and Archaeology)"
,Dr. Caroline Goldberg Igra,,,,University of Haifa,Assistant Professor,"PHD '95, IFA (GSAS/History of Art and Archaeology)"
,Ms. Mayumi Ikeda,,,,Keio University,Postdoctoral Fellow,"MA '04, IFA (GSAS/History of Art and Archaeology)"
,Ms. Helen C. Im,,,,Fine Art Conservation Group LLC,Paintings Conservator,"MA '00, IFA (GSAS/History of Art and Archaeology); CERT '01, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Anna Indych-López, Ph.D.",,,,The City College of New York,Associate Professor of Art History,"BA '93, WSC (Fine Arts); MA '95, IFA (GSAS/History of Art and Archaeology); PHD '03, IFA (GSAS/History of Art and Archaeology)"
,"Erik W. Inglis, Ph.D.",,,,Oberlin College,Professor,"MA '91, IFA (GSAS/History of Art and Archaeology); PHD '98, IFA (GSAS/History of Art and Archaeology)"
,Ms. Harriet Irgang,,,,ArtCareNYC Inc.,Director/Senior Paintings Conservator,"MA '85, IFA (GSAS/History of Art and Archaeology); CERT '85, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Anita T. Isola, Esq.",,,,New York City Transit Authority,Assistant General Counsel - Retired,"BA '71, WSC; MA '74, IFA (GSAS/Fine Arts)"
,Mr. Matthew Winer Israel,,,,The Art Genome Project,Director,"MA '06, IFA (GSAS/History of Art and Archaeology); PHD '11, GSAS (GSAS/History of Art and Archaeology)"
,Ms. Rebeca Amaranta Izquierdo,,,,Alumni Relations (National Outreach),Associate Director,"MA '09, IFA (Museum Studies)"
,"Lauren Anne Jacobi, Ph.D.",,,,MIT Department of Architecture,Assistant Professor,"PHD '12, IFA (GSAS/History of Art and Archaeology)"
,"Lynn F. Jacobs, Ph.D.",,,,University of Arkansas,Professor,"MA '80, IFA (GSAS/Fine Arts); PHD '86, IFA (GSAS/Fine Arts)"
,Ms. Sandhya S. Jain Patel,,,,Christie's Auction House,Specialist,"CERT '04, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '04, IFA (GSAS/History of Art and Archaeology)"
,Ms. Heather Whitmore Jain,,,,San Francisco Museum of Art,Curator,"MA '99, IFA (GSAS/History of Art and Archaeology)"
,Ms. Olivia Falconer James,,,,Howard Hanna Holt Real Estate,Associate Broker,"MA '76, IFA (GSAS/Fine Arts)"
,Ms. Grace Jan,,,,Freer Sackler Galleries/Smithsonian,Chinese Painting Conservator,"CERT '07, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '07, IFA (GSAS/History of Art and Archaeology)"
,"Marilyn Jenkins-Madina, Ph.D.",,,,The Metropolitan Museum of Art,Curator Emerita,"PHD '78, IFA (GSAS/Fine Arts)"
,Ms. Victoria M. Jenssen,,,, , ,"BA '70, WSC (Classics - Fine Arts); MA '75, IFA (GSAS/History of Art and Archaeology); CERT '76, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Maureen M. Jerome,,,,"Merck & Co., Inc.",Assistant Counsel,"MA '93, IFA (GSAS/History of Art and Archaeology)"
,Ms. Purissima Benitez Johannot,,,,Musee Barbier-Mueller,Curator,"XX '84, IFA (GSAS/Fine Arts)"
,"Christopher Johnson, Ph.D.",,,,New School University- Eugene Lang College,Assistant Professor of Culture and Media,"XX '85, IFA (GSAS/Fine Arts); PHD '99, GSAS (American Civilization)"
,Dr. Eugene J. Johnson,,,,Department of Art,Amos Lawrence Professor of Art,"MA '63, IFA (GSAS/Fine Arts)"
,"Lyle Humphrey Johnson, Ph.D.",,,, ,Independent Scholar,"MA '98, IFA (GSAS/History of Art and Archaeology); CERT '00, IFA (GSAS/Curatorial Studies); PHD '07, IFA (GSAS/History of Art and Archaeology)"
,Ms. Nancy A. Johnson,,,, ,Self-Employed Archivist and Writer,"XX '82, IFA (GSAS/Fine Arts)"
,Mr. William R. Johnston,,,,Walters Art Museum- Retired,Senior Curator Emeritus,"MA '66, IFA (GSAS/Fine Arts)"
,Ms. Julie M. Jones,,,,"Arts of Africa, Oceania, & the Americas",Andrall E. Pearson Curator in Charge,"MA '62, IFA (GSAS/Fine Arts)"
,"Leslie Jones, Ph.D.",,,,Los Angeles County Museum of Art,Assistant Curator,"MA '95, IFA (GSAS/History of Art and Archaeology); PHD '03, IFA (GSAS/History of Art and Archaeology)"
,Dr. Leslie M. Jones,,,,Motorola Mobility Foundation,Senior VP and Chief Information Office,"MA '73, IFA (GSAS/Fine Arts)"
,Dr. Jim M. Jordan,,,,Dartmouth College,Professor,"XX '74, IFA (GSAS/Fine Arts)"
,"Anna Jozefacka, Ph.D.",,,,Hunter College,College Professor,"MA '03, IFA (GSAS/History of Art and Archaeology); PHD '11, IFA (GSAS/History of Art and Archaeology)"
,Ms. Erin Kimberly Jue,,,,The Huntington Library,Paper Conservator,"MA '08, IFA (GSAS/History of Art and Archaeology); CERT '08, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Dr. Annette L. Juliano,,,,Rutgers University,Professor of Asian Art,"PHD '74, IFA (GSAS/Fine Arts)"
,"Kenji Kajiya, Ph.D.",,,,Kyoto City University of Arts,Associate Professor,"PHD '14, IFA (GSAS/History of Art and Archaeology)"
,"Peter Roland Kalb, Ph.D.",,,,Brandeis University,Assistant Professor,"MA '97, IFA (GSAS/History of Art and Archaeology); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Ms. Susan R. Kandel,,,,HarperCollins Publishers, ,"MA '88, IFA (GSAS/Fine Arts)"
,Mr. Laurence B. Kanter,,,,Yale University Art Gallery,Lionel Goldfrank III Curator of Early European Art,"MA '80, IFA (GSAS/Fine Arts)"
,Ms. Susan Ann Kantor,,,,Asian Art Museum,Assistant to the Chief Curator,"MA '07, IFA (GSAS/History of Art and Archaeology)"
,Ms. Rachel Sarane Kaplan,,,,NYU IFA,PhD Candidate,"MA '10, IFA (GSAS/History of Art and Archaeology)"
,"Lorraine M. Karafel, Ph.D.",,,,Assistant Professor of Art History,Associate Dean and ,"XX '84, IFA (GSAS/Fine Arts); PHD '10, IFA (GSAS/History of Art and Archaeology)"
,Professor Patricia E. Karetzky,,,,Bard College,O Munsterberg Chair of Asian Art,"XX '70, WSC; PHD '79, IFA (GSAS/Fine Arts)"
,Ms. Lucretia G. Kargere-Basco,,,,The Cloisters,Conservator,"MA '94, IFA (GSAS/History of Art and Archaeology); CERT '96, IFA (GSAS/Conservatn Center Training Pgm)"
,Ms. Hiroko Kariya,,,,"Epigraphic Survey, Oriental Institute",Project Conservator,"MA '01, IFA (GSAS/History of Art and Archaeology); CERT '01, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Pepe Karmel, Ph.D.",,,,New York University,Associate Professor,"MA '86, IFA (GSAS/Fine Arts); PHD '93, IFA (GSAS/History of Art and Archaeology)"
,Dr. Anna D. Kartsonis,,,,"Comparative Religion, Emerita",Professor of Art History and,"XX '68, IFA (GSAS/Fine Arts)"
,"Ronda J. Kasl, Ph.D.",,,,Metropolitan Museum of Art,Curator of Colonial Latin American Art,"MA '85, IFA (GSAS/Fine Arts); PHD '12, IFA (GSAS/History of Art and Archaeology)"
,Ms. Eliza J. Katz Ward,,,,The Textile Museum,Development Manager,"MA '06, IFA (GSAS/History of Art and Archaeology)"
,"Ariela Hanna Katz, Ph.D.",,,,"Co-Director, NY/Paris Program",Adjunct Associate Prof of Architecture,"MA '98, IFA (GSAS/History of Art and Archaeology); PHD '14, IFA (GSAS/History of Art and Archaeology)"
,Mr. Charles J. Katz,,,,The Charles and Roberta Katz Family, ,"MA '73, IFA (GSAS/Fine Arts)"
,"Ilona Katzew, Ph.D.",,,,Los Angeles County Museum of Art,Curator and Co-Department Head of Latin American Art,"MA '92, IFA (GSAS/History of Art and Archaeology); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Dr. Laura S. Kaufman,,,,Manhattanville College,Professor Emerita,"MA '69, IFA (GSAS/Fine Arts)"
,Ms. Ruth-Lee Kaufmann,,,, ,Art Consultant,"MA '69, IFA (GSAS/Fine Arts)"
,"Ethan Matt Kavaler, Ph.D.",,,,University of Toronto,Professor,"PHD '92, IFA (GSAS/History of Art and Archaeology)"
,"Joan J. Kee, Ph.D.",,,,Department of the History of Art,Assistant Professor,"PHD '08, IFA (GSAS/History of Art and Archaeology)"
,Mr. David C. Kellogg,,,,FoorRest,Healthcare,"MA '90, IFA (GSAS/Fine Arts)"
,Mr. Matthew H. Kennedy,,,,ERS Group,Director of Litigation Support,"MA '89, IFA (GSAS/Fine Arts)"
,Ms. Trinita N. Kennedy,,,,The Frist Center for the Visual Arts, ,"MA '97, IFA (GSAS/History of Art and Archaeology)"
,"Ellen V.R. Kenney, Ph.D.",,,,Metropolitan Museum of Art,Research Associate,"MA '93, IFA (GSAS/History of Art and Archaeology); PHD '04, IFA (GSAS/History of Art and Archaeology)"
,"Jaclynne J. Kerner, Ph.D.",,,,SUNY New Paltz,Assistant Professor,"BA '91, WSC (Fine Arts); MA '94, IFA (GSAS/History of Art and Archaeology); PHD '04, IFA (GSAS/History of Art and Archaeology)"
,Ms. Rochelle Lynne Kessler,,,,Embry-Riddle Aeronautical University,Adjunct Professor,"MA '05, IFA (GSAS/History of Art and Archaeology)"
,Ms. Daria T. Keynan,,,, , ,"CERT '86, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '86, IFA (GSAS/History of Art and Archaeology)"
,"Dr. J. Edward Kidder, Jr.",,,,International Christian University,Professor Emeritus,"MA '49, IFA (GSAS/Fine Arts)"
,Dr. Jennifer M. Kilian,,,,Kist Kilian Communications, ,"XX '83, IFA (GSAS/Fine Arts); PHD '93, IFA (GSAS/History of Art and Archaeology)"
,Ms. Laurie Ann Kilker,,,,Ithaca College,Lecturer,"MA '04, IFA (GSAS/History of Art and Archaeology)"
,Ms. Emy Elm Kim,,,, , ,"CERT '08, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Jennifer Junghan Kim,,,,Margaret Herrick Library,Conservator,"MA '08, IFA (GSAS/History of Art and Archaeology); CERT '08, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Jongwoo Kim, Ph.D.",,,,Department of Fine Art,Associate Professor,"BA '98, CAS (Fine Arts); PHD '07, IFA (GSAS/History of Art and Archaeology)"
,Mr. William C. Kimmel,,,,New School for Social Research, ,"XX '84, IFA (GSAS/Fine Arts)"
,"Dale B. Kinney, Ph.D.",,,,Bryn Mawr College,Professor of History of Art,"MA '67, IFA (GSAS/Fine Arts); PHD '75, IFA (GSAS/Fine Arts)"
,Ms. Lucie L. Kinsolving,,,,National Academy Museum,Paintings Conservator,"MA '89, IFA (GSAS/History of Art and Archaeology); CERT '89, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Laura Klar Phillips, Ph.D.",,,,SUNY New Paltz, ,"MA '00, IFA (GSAS/History of Art and Archaeology); PHD '06, IFA (GSAS/History of Art and Archaeology)"
,Mr. Norman L. Kleeblatt,,,,The Jewish Museum,Susan & Elihu Rose Chief Curator,"CERT '75, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '75, IFA (GSAS/History of Art and Archaeology)"
,"Lynda Klich, Ph.D.",,,,Hunter College CUNY,Distinguished Lecturer,"PHD '08, IFA (GSAS/History of Art and Archaeology)"
,Mr. Robert D. Knafo,,,,NewArtTV,Executive Producer,"MA '82, IFA"
,Ms. Heather Lauren Knapp,,,,AMNH, ,"MA '09, IFA (Museum Studies)"
,Mr. Craig Alan Knox,,,,University of Toronto IHPST,PhD Student,"MA '12, GSAS (Humanities and Social Thought); ADCRT '12, IFA (Museum Studies)"
,Ms. Evelyn Monroe Koehnline,,,,Ackland Art Museum,Conservator,"CERT '84, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '84, IFA (GSAS/History of Art and Archaeology)"
,Dr. Linda Komaroff,,,,Los Angeles County Museum of Art,Cuator of Islamic Art,"MA '77, IFA (GSAS/Fine Arts)"
,"Yee Wan Koon, Ph.D.",,,,Department of Fine Arts,Assistant Professor,"MA '01, IFA (GSAS/History of Art and Archaeology); PHD '06, IFA (GSAS/History of Art and Archaeology)"
,Ms. Abby M. Kornfeld,,,,City College of New York,Assistant Professor of Art History ,"MA '05, IFA (GSAS/History of Art and Archaeology); PHD '13, IFA (GSAS/History of Art and Archaeology)"
,Mr. Vasif Karaca Kortun,,,,Platform Garanti,Director,"MA '85, IFA (GSAS/Fine Arts)"
,Mr. Victor Koshkin-Youritzin,,,,School of Art and Art History,David Ross Boyd Professor of Art History,"MA '67, IFA (GSAS/Fine Arts)"
,"Dorothy Kosinski, Ph.D.",,,,The Phillips Collection,Director,"MA '77, IFA (GSAS/Fine Arts); PHD '85, IFA (GSAS/Fine Arts)"
,Dr. Desiree G. Koslin,,,,Fashion Institute of Technology,Professor,"MA '92, IFA (GSAS/History of Art and Archaeology); PHD '99, IFA (GSAS/History of Art and Archaeology)"
,Dr. Susan J. Koslow,,,,"CUNY, Graduate Center & Brooklyn College",Professor Emerita,"MA '65, IFA (GSAS/Fine Arts)"
,"Rachel M Kousser, Ph.D.",,,,Brooklyn College,Assistant Professor,"MA '96, IFA (GSAS/History of Art and Archaeology); PHD '01, IFA (GSAS/History of Art and Archaeology)"
,Miss Deborah E. Kraak,,,,"Historic Textiles, Costumes and Interiors",Independent Museum Professional,"XX '81, IFA (GSAS/Fine Arts)"
,"Linda Konheim Kramer, Ph.D.",,,,Nancy Graves Foundation,Executive Director,"MA '68, IFA (GSAS/Fine Arts); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Mr. John Krill,,,, ,Paper Conservator,"CERT '70, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Professor Carol Herselle Krinsky,,,,New York University,Professor of Art History,"MA '60, IFA (GSAS/Fine Arts); PHD '65, IFA"
,Mr. Andrew J. Kronenberg,,,,Andrew Kronenberg Fine Art LLC, ,"MA '96, IFA (GSAS/History of Art and Archaeology)"
,"Margaret A. Kuntz, Ph.D.",,,,Drew University,Professor of Art History,"PHD '97, IFA (GSAS/History of Art and Archaeology)"
,"Karen Lynne Kurczynski, Ph.D.",,,,Northeastern University,Lecturer,"MA '98, IFA (GSAS/History of Art and Archaeology); PHD '05, IFA (GSAS/History of Art and Archaeology)"
,Ms. Lisa B. Kurzner-Bloomenkranz,,,,Public Art Projects,Independent Curator,"XX '85, IFA (GSAS/Fine Arts)"
,Ms. Rebecca Ruderman Kusovitsky,,,,The Metropolitan Museum of Art,"Associate for Administration, Modern and Contemporary Art","MA '12, IFA (GSAS/History of Art and Archaeology)"
,Ms. Deborah Ann La Camera,,,,Studio TKM Ltd.,Conservator,"MA '00, IFA (GSAS/Conservation of Hist & Artistic Wrk); CERT '00, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Dr. Charlotte Daudon Lacaze,,,,Professor of Art History Emerita,Schiff-Dupee Associate ,"BA '68, WSC (Fine Arts, French); MA '70, IFA (GSAS/Fine Arts); PHD '78, IFA (GSAS/Fine Arts)"
,"Robert Gene LaFrance, Ph.D.",,,,Krannert Art ,Curator of Pre-Modern Art,"PHD '02, IFA (GSAS/History of Art and Archaeology)"
,Dr. Stephen Lamia,,,,Dowling College,Professor of Visual Arts,"MA '73, IFA (GSAS/Fine Arts)"
,Professor Emerita Sarah B. Landau,,,, ,Professor Emerita of Art History,"MA '59, GSAS; PHD '78, IFA"
,Ms. Ingrid Olivia Langston,,,,Triple Canopy,Contributor,"MA '11, IFA (GSAS/History of Art and Archaeology)"
,Mr. Richard S. Lanier,,,,Trust for Mutual Understanding,Director,"MA '67, IFA (GSAS/Fine Arts)"
,Ms. Abigail E. Lapin,,,,CUNY Graduate Center,PhD Student,"BA '10, CAS (Spanish, Art History); MA '13, IFA (GSAS/History of Art and Archaeology)"
,"Barbara J. Larson, Ph.D.",,,,University of West Florida,Associate Professor of Art and Art History,"MA '90, IFA (GSAS/Fine Arts); PHD '96, IFA (GSAS/History of Art and Archaeology)"
,Mr. A. Floyd Lattin,,,,"The Praedium Group, LLC",Founder/Chief Investment Officer,"MA '79, IFA (GSAS/Fine Arts)"
,Dr. Marilyn A. Lavin,,,,Department of Art and Archaeology,Visiting Lecturer (with rank of Professor),"XX '73, IFA (GSAS/Fine Arts)"
,Ms. Alexandra Ames Lawrence,,,,Lobkowicz Palace - Prague Castle,"Director, The Princely Collections","MA '99, IFA (GSAS/History of Art and Archaeology)"
,Ms. Kathryn Elizabeth Lawson,,,,ISAW - NYU,Assistant Director for Academic Aff,"MA '09, IFA (GSAS/History of Art and Archaeology)"
,"Karen J. Leader, Ph.D.",,,,Department of Visual Arts and Art History,Assistant Professor of Art History,"MA '03, IFA (GSAS/History of Art and Archaeology); PHD '09, IFA (GSAS/History of Art and Archaeology)"
,Professor Heather N. Lechtman,,,,Massachussetts Institute of Technology,Professor of Archaeology & Ancient Technology,"MA '66, IFA (GSAS/History of Art and Archaeology); CERT '67, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Yulin Lee, Ph.D.",,,,Taishin Bank Foundation for Arts & Culture,Artistic Director,"MA '03, IFA (GSAS/History of Art and Archaeology); PHD '12, IFA (GSAS/History of Art and Archaeology)"
,"Sarah Lees, Ph.D.",,,,Sterling and Francine Clark Art Institute,Associate Curator of European Art,"MA '92, IFA (GSAS/History of Art and Archaeology); PHD '99, IFA (GSAS/History of Art and Archaeology)"
,"Leah Rosenblatt Lehmbeck, Ph.D.",,,,Norton Simon Museum,Assistant Curator,"MA '02, IFA (GSAS/History of Art and Archaeology); PHD '07, IFA (GSAS/History of Art and Archaeology)"
,"Patrick Lenaghan, Ph.D.",,,,The Hispanic Society of America,"Curator, Prints and Photographs","MA '87, IFA (GSAS/Fine Arts); PHD '93, IFA (GSAS/History of Art and Archaeology)"
,Susan L'Engle,,,,Vatican Film Library,Assistant Director,"MA '93, IFA (GSAS/History of Art and Archaeology); PA '97, IFA (GSAS/Curatorial Studies); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Mr. Mark W. Leonard,,,,c/o Louis Stern Fine Arts ,Working Artist,"CERT '80, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '80, IFA (GSAS/History of Art and Archaeology)"
,"Liliana Leopardi, Ph.D.",,,,Chapman University,Assistant Professor,"MA '00, IFA (GSAS/History of Art and Archaeology); PHD '07, IFA (GSAS/History of Art and Archaeology)"
,Ms. Colleen Ritzau Leth,,,,Colloquium Associate,Global Museum Leaders ,"MA '11, IFA (GSAS/History of Art and Archaeology)"
,Dr. Andrew K.Y. Leung,,,,Austrian Archaeological Institute, ,"MA '93, IFA (GSAS/History of Art and Archaeology)"
,Ms. Susana T.  Leval,,,,Director,Independent Art Historian/Arts Consultant,"MA '73, IFA"
,Dr. Jay A. Levenson,,,,Museum of Modern Art,"Director, International Program","XX '75, IFA (GSAS/Fine Arts)"
,"Cecelia S. Levin, Ph.D.",,,,"Art of Asia, Oceania and Africa", ,"BA '72, WSC (Fine Arts); MA '77, IFA (GSAS/Fine Arts); PHD '99, IFA (GSAS/History of Art and Archaeology)"
,Ms. Judith Levinson,,,,Ameircan Museum of Natural History,Director of Conservation: Anthropology,"MA '84, IFA (GSAS/History of Art and Archaeology); CERT '84, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Mary L. Levkoff,,,,Hearst Castle,Museum Director,"XX '78, IFA (GSAS/Fine Arts)"
,"Candace J. Lewis, Ph.D.",,,,Marist College,Adjunct Professor,"PHD '99, IFA (GSAS/History of Art and Archaeology)"
,Mrs. Claudia Lewis,,,,Marymount Manhattan,Lecturer in Art History,"MA '67, IFA (GSAS/Fine Arts)"
,"Niria Elena Leyva-Gutierrez, Ph.D.",,,,Art History & Museum Studies,Assistant Professor of,"MA '99, IFA (GSAS/History of Art and Archaeology); PHD '12, GSAS (GSAS/History of Art and Archaeology); PHD '12, IFA (GSAS/History of Art and Archaeology)"
,Dr. Meg Licht,,,, , ,"PHD '68, IFA (GSAS/Fine Arts)"
,Mr. Harold A. Liebowitz,,,,The University of Texas at Austin,"Professor Emeritus, Middle Eastern Studies","MA '66, IFA (GSAS/Fine Arts)"
,Ms. Amy Pearl Liebster,,,,Christie's,Web Producer,"MA '14, IFA (GSAS/History of Art and Archaeology)"
,Mr. Andrew Lins,,,,Philadelphia Museum of Art,Conservator of Artifacts,"MA '73, IFA (GSAS/History of Art and Archaeology); CERT '75, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Deborah Lipton, Ph.D.",,,,Cornell University,Major Gift Officer,"PHD '74, IFA (GSAS/Fine Arts)"
,Dr. Charles T. Little,,,,The Metropolitan Museum of Art,Curator of Medieval Art,"MA '70, IFA (GSAS/Fine Arts); PHD '77, IFA"
,Ms. Gail P. Lloyd,,,,Arthur Ross Foundation,Executive Director,"MA '82, IFA (GSAS/Fine Arts)"
,"Jane F. Lloyd, Ph.D.",,,,New York Institute of Technology, ,"MA '81, IFA (GSAS/Fine Arts); PHD '90, IFA (GSAS/Fine Arts)"
,Mr. Peter C. Locascio,,,, , ,"XX '82, IFA (GSAS/Fine Arts)"
,"Suzanne Heim Loggie, Ph.D.",,,,Braswell Galleries Auction,Research Specialist,"MA '72, IFA (GSAS/Fine Arts); PHD '89, IFA (GSAS/Fine Arts)"
,Ms. Barbara J. London,,,,Media and Performance Art,Associate Curator,"XX '72, IFA (GSAS/Fine Arts)"
,Ms. Christina V. Long,,,,Office of the Director,Assistant for Administration,"MA '14, IFA (GSAS/History of Art and Archaeology)"
,Ms. Rebecca J. Long,,,,European Painting and Sculpture,Curatorial Assistant,"MA '04, IFA (GSAS/History of Art and Archaeology)"
,Ms. Linda S. Lourie,,,,US Department of Defense,Associate General Counsel,"MA '92, IFA (GSAS/History of Art and Archaeology)"
,Dr. Constance Lowenthal,,,,"Constance Lowenthal, Inc.","Consultant, Provenance and Ownership ","MA '69, IFA (GSAS/Fine Arts)"
,Ms. Rosa Lowinger,,,,The Sculpture Conservation Studio, ,"MA '84, IFA (GSAS/History of Art and Archaeology); CERT '84, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Robert S. Lubar, Ph.D.",,,,Institute of Fine Arts ,Associate Professor of Fine Arts,"MA '81, IFA (GSAS/Fine Arts); PHD '88, IFA (GSAS/Fine Arts)"
,"Martha Lucy, Ph.D.",,,,Barnes Foundation,Associate Curator,"PHD '04, IFA (GSAS/History of Art and Archaeology)"
,"Leslie L. Luebbers, Ph.D.",,,,The University of Memphis Art Museum,Director,"MA '87, IFA (GSAS/Fine Arts); PHD '01, IFA (GSAS/History of Art and Archaeology)"
,"Emanuele Lugli, Ph.D.",,,,University of York,Lecturer,"PHD '09, IFA (GSAS/History of Art and Archaeology)"
,Dr. Alisa L. Luxenberg,,,,University of Georgia,Professor,"PHD '91, IFA (GSAS/History of Art and Archaeology)"
,Ms. Nancy Falkin Lynn,,,,Alzheimer's Drug Discovery Foundation ,Executive Vice President,"MA '98, IFA (GSAS/History of Art and Archaeology)"
,Ms. Meghan Thumm Mackey,,,,"Meghan Thumm Mackey Conservation, LLC",Owner,"CERT '97, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '97, IFA (GSAS/History of Art and Archaeology)"
,Ms. Odile Marguerite Madden,,,,Los Angeles County Museum of Art,Laser Conservation Research,"MA '01, IFA (GSAS/History of Art and Archaeology); CERT '01, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Sarah Elizabeth Madole, Ph.D.",,,,Marymount Manhattan College,Adjunct Professor ,"MA '06, IFA (GSAS/History of Art and Archaeology); PHD '12, IFA (GSAS/History of Art and Archaeology)"
,Ms. Natalia Majluf,,,,Museo de Arte de Lima,Directora,"MA '90, IFA (GSAS/History of Art and Archaeology)"
,Ms. Philippa Feigen Malkin,,,,The Matthews Group,Real Estate Agent,"MA '95, IFA (GSAS/History of Art and Archaeology)"
,Mr. Christopher S. Malstead,,,,Wells Fargo, ,"MA '96, IFA (GSAS/History of Art and Archaeology)"
,Ms. Carol C. Mancusi-Ungaro,,,,Whitney Museum of American Art,Associate Director for Conservation,"MA '70, IFA (GSAS/History of Art and Archaeology)"
,"Earl R. Mandle, Ph.D.",,,,Qatar Museums Authority, ,"MA '67, IFA (GSAS/Fine Arts)"
,Ms. Janis Mandrus,,,,Metropolitan Museum of Art, ,"MA '97, IFA (GSAS/History of Art and Archaeology)"
,Dr. Richard G. Mann,,,,Art Department,Professor,"XX '82, IFA (GSAS/Fine Arts)"
,Dr. Vivian B. Mann,,,,The Jewish Museum,Curator of Judaica,"PHD '77, IFA (GSAS/Fine Arts)"
,Ms. Kimberly Marcelino,,,,PhD at CUNY Grad Center, ,"MA '12, IFA (GSAS/History of Art and Archaeology)"
